2026-02-16 20:39:25 | INFO     | system               | log_request     | GET / - Status: 200 - Duration: 0.001s
2026-02-16 20:41:21 | INFO     | system               | log_startup_info | ============================================================
2026-02-16 20:41:21 | INFO     | system               | log_startup_info | 🎲 CRONISTA V80 - Sistema de Logging Inicializado
2026-02-16 20:41:21 | INFO     | system               | log_startup_info | Nivel de Log: INFO
2026-02-16 20:41:21 | INFO     | system               | log_startup_info | Directorio de Logs: /home/matiascorderoflores/Machine Learning/DnD El Cronista/logs
2026-02-16 20:41:21 | INFO     | system               | log_startup_info | ============================================================
2026-02-16 20:41:23 | INFO     | system               | log_request     | GET / - Status: 200 - Duration: 0.002s
2026-02-16 20:42:27 | INFO     | system               | log_request     | GET /new - Status: 200 - Duration: 63.057s
2026-02-16 20:42:27 | INFO     | system               | log_request     | GET /dm - Status: 200 - Duration: 0.007s
2026-02-16 20:42:33 | INFO     | system               | log_request     | POST /oracle - Status: 200 - Duration: 0.004s
2026-02-16 20:42:40 | INFO     | system               | log_request     | POST /oracle - Status: 200 - Duration: 0.003s
2026-02-16 20:42:40 | INFO     | system               | log_request     | POST /oracle - Status: 200 - Duration: 0.003s
2026-02-16 20:46:54 | INFO     | system               | log_request     | GET /dm - Status: 200 - Duration: 0.009s
2026-02-16 20:46:56 | INFO     | system               | log_request     | POST /oracle - Status: 200 - Duration: 0.003s
2026-02-16 20:47:05 | INFO     | system               | log_startup_info | ============================================================
2026-02-16 20:47:05 | INFO     | system               | log_startup_info | 🎲 CRONISTA V80 - Sistema de Logging Inicializado
2026-02-16 20:47:05 | INFO     | system               | log_startup_info | Nivel de Log: INFO
2026-02-16 20:47:05 | INFO     | system               | log_startup_info | Directorio de Logs: /home/matiascorderoflores/Machine Learning/DnD El Cronista/logs
2026-02-16 20:47:05 | INFO     | system               | log_startup_info | ============================================================
2026-02-16 20:47:07 | INFO     | system               | log_request     | GET / - Status: 200 - Duration: 0.002s
2026-02-16 20:48:12 | INFO     | system               | log_request     | GET /new - Status: 200 - Duration: 64.252s
2026-02-16 20:48:12 | INFO     | system               | log_request     | GET /dm - Status: 200 - Duration: 0.007s
2026-02-16 20:48:19 | INFO     | system               | log_request     | POST /oracle - Status: 200 - Duration: 1.857s
2026-02-16 20:53:02 | INFO     | system               | log_startup_info | ============================================================
2026-02-16 20:53:02 | INFO     | system               | log_startup_info | 🎲 CRONISTA V80 - Sistema de Logging Inicializado
2026-02-16 20:53:02 | INFO     | system               | log_startup_info | Nivel de Log: INFO
2026-02-16 20:53:02 | INFO     | system               | log_startup_info | Directorio de Logs: /home/matiascorderoflores/Machine Learning/DnD El Cronista/logs
2026-02-16 20:53:02 | INFO     | system               | log_startup_info | ============================================================
2026-02-16 20:53:07 | INFO     | system               | log_request     | GET / - Status: 200 - Duration: 0.002s
2026-02-16 20:54:11 | INFO     | system               | log_request     | GET /new - Status: 200 - Duration: 62.418s
2026-02-16 20:54:11 | INFO     | system               | log_request     | GET /dm - Status: 200 - Duration: 0.007s
2026-02-16 20:57:04 | INFO     | system               | log_request     | POST /oracle - Status: 200 - Duration: 2.463s
2026-02-16 20:57:11 | INFO     | system               | log_request     | POST /oracle - Status: 200 - Duration: 3.471s
2026-02-16 21:00:20 | INFO     | system               | log_startup_info | ============================================================
2026-02-16 21:00:20 | INFO     | system               | log_startup_info | 🎲 CRONISTA V80 - Sistema de Logging Inicializado
2026-02-16 21:00:20 | INFO     | system               | log_startup_info | Nivel de Log: INFO
2026-02-16 21:00:20 | INFO     | system               | log_startup_info | Directorio de Logs: /home/matiascorderoflores/Machine Learning/DnD El Cronista/logs
2026-02-16 21:00:20 | INFO     | system               | log_startup_info | ============================================================
2026-02-16 21:00:24 | INFO     | system               | log_request     | GET / - Status: 200 - Duration: 0.002s
2026-02-16 21:01:22 | INFO     | system               | log_request     | GET /new - Status: 200 - Duration: 56.657s
2026-02-16 21:01:22 | INFO     | system               | log_request     | GET /dm - Status: 200 - Duration: 0.007s
2026-02-16 21:01:54 | INFO     | system               | log_request     | POST /oracle - Status: 200 - Duration: 2.945s
2026-02-16 21:09:40 | INFO     | system               | log_startup_info | ============================================================
2026-02-16 21:09:40 | INFO     | system               | log_startup_info | 🎲 CRONISTA V80 - Sistema de Logging Inicializado
2026-02-16 21:09:40 | INFO     | system               | log_startup_info | Nivel de Log: INFO
2026-02-16 21:09:40 | INFO     | system               | log_startup_info | Directorio de Logs: /home/matiascorderoflores/Machine Learning/DnD El Cronista/logs
2026-02-16 21:09:40 | INFO     | system               | log_startup_info | ============================================================
2026-02-16 21:09:42 | INFO     | system               | log_request     | GET / - Status: 200 - Duration: 0.002s
2026-02-16 21:10:45 | INFO     | system               | log_request     | GET /new - Status: 200 - Duration: 61.618s
2026-02-16 21:10:45 | INFO     | system               | log_request     | GET /dm - Status: 200 - Duration: 0.007s
2026-02-16 21:11:26 | INFO     | system               | log_request     | POST /oracle - Status: 200 - Duration: 9.758s
2026-02-16 21:22:14 | INFO     | system               | log_startup_info | ============================================================
2026-02-16 21:22:14 | INFO     | system               | log_startup_info | 🎲 CRONISTA V80 - Sistema de Logging Inicializado
2026-02-16 21:22:14 | INFO     | system               | log_startup_info | Nivel de Log: INFO
2026-02-16 21:22:14 | INFO     | system               | log_startup_info | Directorio de Logs: /home/matiascorderoflores/Machine Learning/DnD El Cronista/logs
2026-02-16 21:22:14 | INFO     | system               | log_startup_info | ============================================================
2026-02-16 21:22:16 | INFO     | system               | log_request     | GET / - Status: 200 - Duration: 0.002s
2026-02-16 21:23:18 | INFO     | system               | log_request     | GET /new - Status: 200 - Duration: 61.204s
2026-02-16 21:23:18 | INFO     | system               | log_request     | GET /dm - Status: 200 - Duration: 0.009s
2026-02-16 21:30:40 | INFO     | system               | log_startup_info | ============================================================
2026-02-16 21:30:40 | INFO     | system               | log_startup_info | 🎲 CRONISTA V80 - Sistema de Logging Inicializado
2026-02-16 21:30:40 | INFO     | system               | log_startup_info | Nivel de Log: INFO
2026-02-16 21:30:40 | INFO     | system               | log_startup_info | Directorio de Logs: /home/matiascorderoflores/Machine Learning/DnD El Cronista/logs
2026-02-16 21:30:40 | INFO     | system               | log_startup_info | ============================================================
2026-02-16 21:30:42 | INFO     | system               | log_request     | GET / - Status: 200 - Duration: 0.002s
2026-02-16 21:31:49 | INFO     | system               | log_request     | GET /new - Status: 200 - Duration: 65.940s
2026-02-16 21:31:49 | INFO     | system               | log_request     | GET /dm - Status: 200 - Duration: 0.009s
2026-02-16 22:26:36 | INFO     | system               | log_startup_info | ============================================================
2026-02-16 22:26:36 | INFO     | system               | log_startup_info | 🎲 CRONISTA V80 - Sistema de Logging Inicializado
2026-02-16 22:26:36 | INFO     | system               | log_startup_info | Nivel de Log: INFO
2026-02-16 22:26:36 | INFO     | system               | log_startup_info | Directorio de Logs: /home/matiascorderoflores/Machine Learning/DnD El Cronista/logs
2026-02-16 22:26:36 | INFO     | system               | log_startup_info | ============================================================
2026-02-16 22:27:55 | INFO     | system               | log_startup_info | ============================================================
2026-02-16 22:27:55 | INFO     | system               | log_startup_info | 🎲 CRONISTA V80 - Sistema de Logging Inicializado
