2026-02-16 20:19:26 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-16 20:31:31 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-16 20:32:33 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-16 20:34:57 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-16 20:37:34 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-16 20:37:34 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-16 20:41:21 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-16 20:47:05 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-16 20:53:02 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-16 21:00:20 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-16 21:09:40 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-16 21:22:14 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-16 21:30:40 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-16 22:18:03 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-16 22:26:36 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-16 22:27:55 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-16 22:31:37 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-17 16:27:17 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-17 16:37:23 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-17 16:41:40 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-17 16:45:37 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-17 17:00:02 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-17 17:03:47 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-17 17:21:48 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-17 17:24:33 | INFO     | combat               | start_combat    | ⚔️ Iniciando combate - Sesión: default_session
2026-02-17 17:24:33 | INFO     | combat               | start_combat    | PJs: 4, Grupos enemigos: 5
2026-02-17 17:24:33 | INFO     | combat               | start_combat    | ✓ Combate iniciado con 9 combatientes
2026-02-17 17:24:33 | INFO     | combat               | start_combat    | Orden de iniciativa: ['Habitantes corrompidos', 'Criaturas mutantes', 'Drago Darkheart corrompido', 'Lysandra', 'Eolande', 'Thora', 'Zephyrus', 'El líder corrompido', 'Piratas fantasmales']
2026-02-17 17:25:09 | INFO     | combat               | next_turn       | Turno de: Criaturas mutantes (Ini: 15)
2026-02-17 17:25:12 | INFO     | combat               | start_combat    | ⚔️ Iniciando combate - Sesión: default_session
2026-02-17 17:25:12 | INFO     | combat               | start_combat    | PJs: 4, Grupos enemigos: 5
2026-02-17 17:25:12 | INFO     | combat               | start_combat    | ✓ Combate iniciado con 9 combatientes
2026-02-17 17:25:12 | INFO     | combat               | start_combat    | Orden de iniciativa: ['Thora', 'Criaturas mutantes', 'Lysandra', 'Zephyrus', 'Habitantes corrompidos', 'Piratas fantasmales', 'Drago Darkheart corrompido', 'El líder corrompido', 'Eolande']
2026-02-17 17:25:28 | INFO     | combat               | end_combat      | ⚔️ Combate finalizado - Duración: 1 rondas
2026-02-17 17:45:48 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-18 19:31:11 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-18 19:31:57 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-18 19:34:33 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-18 19:47:17 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-18 19:51:18 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-18 19:53:17 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-18 20:10:56 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-18 20:12:02 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-18 20:13:21 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-18 20:19:30 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-18 20:21:48 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-18 20:22:43 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-18 20:27:21 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-18 20:30:37 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-18 20:46:09 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-18 20:48:41 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-18 20:51:48 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-18 20:56:47 | INFO     | combat               | __init__        | CombatTracker inicializado
