2026-02-16 19:34:50 | WARNING  | rules                | sanitizar_pj    | Stats faltantes para Grimgold, generando aleatorios
2026-02-16 19:34:50 | INFO     | rules                | _generar_url_imagen_personaje | Usando estrategia especial de imagen para enano: Grimgold
2026-02-16 19:34:50 | INFO     | rules                | sanitizar_pj    | ✓ Personaje sanitizado: Grimgold (Explorador Nv.3, HP:31, AC:11)
2026-02-16 19:34:50 | INFO     | rules                | sanitizar_pj    | Sanitizando personaje: Eolande
2026-02-16 19:34:50 | WARNING  | rules                | sanitizar_pj    | Stats faltantes para Eolande, generando aleatorios
2026-02-16 19:34:50 | INFO     | rules                | sanitizar_pj    | ✓ Personaje sanitizado: Eolande (Bardo Nv.3, HP:21, AC:9)
2026-02-16 20:12:15 | INFO     | rules                | sanitizar_pj    | Sanitizando personaje: Thalion Silvadark
2026-02-16 20:12:15 | WARNING  | rules                | sanitizar_pj    | Stats faltantes para Thalion Silvadark, generando aleatorios
2026-02-16 20:12:15 | INFO     | rules                | sanitizar_pj    | ✓ Personaje sanitizado: Thalion Silvadark (Hechicero Nv.3, HP:20, AC:9)
2026-02-16 20:12:15 | INFO     | rules                | sanitizar_pj    | Sanitizando personaje: Grom Stoneheart
2026-02-16 20:12:15 | WARNING  | rules                | sanitizar_pj    | Stats faltantes para Grom Stoneheart, generando aleatorios
2026-02-16 20:12:15 | INFO     | rules                | _generar_url_imagen_personaje | Usando estrategia especial de imagen para enano: Grom Stoneheart
2026-02-16 20:12:15 | INFO     | rules                | sanitizar_pj    | ✓ Personaje sanitizado: Grom Stoneheart (Guerrero Nv.3, HP:31, AC:16)
2026-02-16 20:12:15 | INFO     | rules                | sanitizar_pj    | Sanitizando personaje: Eolande Whisperwind
2026-02-16 20:12:15 | WARNING  | rules                | sanitizar_pj    | Clase no reconocida 'Rogue asesino', usando 'Guerrero' por defecto
2026-02-16 20:12:15 | WARNING  | rules                | sanitizar_pj    | Stats faltantes para Eolande Whisperwind, generando aleatorios
2026-02-16 20:12:15 | INFO     | rules                | sanitizar_pj    | ✓ Personaje sanitizado: Eolande Whisperwind (Guerrero Nv.3, HP:28, AC:16)
2026-02-16 20:12:15 | INFO     | rules                | sanitizar_pj    | Sanitizando personaje: Zephyrion Skyweaver
2026-02-16 20:12:15 | WARNING  | rules                | sanitizar_pj    | Stats faltantes para Zephyrion Skyweaver, generando aleatorios
2026-02-16 20:12:15 | INFO     | rules                | sanitizar_pj    | ✓ Personaje sanitizado: Zephyrion Skyweaver (Mago Nv.3, HP:23, AC:11)
2026-02-16 20:19:50 | INFO     | rules                | sanitizar_pj    | Sanitizando personaje: Drago Darkheart
2026-02-16 20:19:50 | WARNING  | rules                | sanitizar_pj    | Stats faltantes para Drago Darkheart, generando aleatorios
2026-02-16 20:19:50 | INFO     | rules                | sanitizar_pj    | ✓ Personaje sanitizado: Drago Darkheart (Mago Nv.3, HP:23, AC:12)
2026-02-16 20:19:50 | INFO     | rules                | sanitizar_pj    | Sanitizando personaje: Liana Whisperwind
2026-02-16 20:19:50 | WARNING  | rules                | sanitizar_pj    | Stats faltantes para Liana Whisperwind, generando aleatorios
2026-02-16 20:19:50 | INFO     | rules                | sanitizar_pj    | ✓ Personaje sanitizado: Liana Whisperwind (Explorador Nv.3, HP:25, AC:13)
2026-02-16 20:19:50 | INFO     | rules                | sanitizar_pj    | Sanitizando personaje: Thorne Ironhide
2026-02-16 20:19:50 | WARNING  | rules                | sanitizar_pj    | Stats faltantes para Thorne Ironhide, generando aleatorios
2026-02-16 20:19:50 | INFO     | rules                | _generar_url_imagen_personaje | Usando estrategia especial de imagen para enano: Thorne Ironhide
2026-02-16 20:19:50 | INFO     | rules                | sanitizar_pj    | ✓ Personaje sanitizado: Thorne Ironhide (Guerrero Nv.3, HP:19, AC:16)
2026-02-16 20:19:50 | INFO     | rules                | sanitizar_pj    | Sanitizando personaje: Eira Skyborn
2026-02-16 20:19:50 | WARNING  | rules                | sanitizar_pj    | Stats faltantes para Eira Skyborn, generando aleatorios
2026-02-16 20:19:50 | INFO     | rules                | sanitizar_pj    | ✓ Personaje sanitizado: Eira Skyborn (Bardo Nv.3, HP:27, AC:9)
2026-02-16 20:35:33 | INFO     | rules                | sanitizar_pj    | Sanitizando personaje: Elara
2026-02-16 20:35:33 | WARNING  | rules                | sanitizar_pj    | Clase no reconocida 'Maga', usando 'Guerrero' por defecto
2026-02-16 20:35:33 | WARNING  | rules                | sanitizar_pj    | Stats faltantes para Elara, generando aleatorios
2026-02-16 20:35:33 | INFO     | rules                | sanitizar_pj    | ✓ Personaje sanitizado: Elara (Guerrero Nv.3, HP:22, AC:16)
2026-02-16 20:35:33 | INFO     | rules                | sanitizar_pj    | Sanitizando personaje: Thorne
2026-02-16 20:35:33 | WARNING  | rules                | sanitizar_pj    | Stats faltantes para Thorne, generando aleatorios
2026-02-16 20:35:33 | INFO     | rules                | sanitizar_pj    | ✓ Personaje sanitizado: Thorne (Guerrero Nv.3, HP:25, AC:16)
2026-02-16 20:35:33 | INFO     | rules                | sanitizar_pj    | Sanitizando personaje: Gwendolyn
2026-02-16 20:35:33 | WARNING  | rules                | sanitizar_pj    | Stats faltantes para Gwendolyn, generando aleatorios
2026-02-16 20:35:33 | INFO     | rules                | sanitizar_pj    | ✓ Personaje sanitizado: Gwendolyn (Explorador Nv.3, HP:19, AC:10)
2026-02-16 20:35:33 | INFO     | rules                | sanitizar_pj    | Sanitizando personaje: Zephyr
2026-02-16 20:35:33 | WARNING  | rules                | sanitizar_pj    | Stats faltantes para Zephyr, generando aleatorios
2026-02-16 20:35:33 | INFO     | rules                | sanitizar_pj    | ✓ Personaje sanitizado: Zephyr (Bardo Nv.3, HP:18, AC:12)
