2026-02-16 22:28:52 | INFO     | journal              | register_event  | [default_session] campaign_start: Aventura iniciada: La Torre Infinita: Luz vs Oscuridad
2026-02-16 22:31:37 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-16 22:32:50 | INFO     | journal              | register_event  | Nuevo journal creado para sesión: default_session
2026-02-16 22:32:50 | INFO     | journal              | register_event  | [default_session] campaign_start: Aventura iniciada: Las Islas de Aetherna: El Resurgimiento del Abismo
2026-02-17 16:27:17 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-17 16:37:23 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-17 16:38:44 | INFO     | journal              | register_event  | Nuevo journal creado para sesión: default_session
2026-02-17 16:38:44 | INFO     | journal              | register_event  | [default_session] campaign_start: Aventura iniciada: Los Susurros del Titán Durmiente
2026-02-17 16:41:40 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-17 16:45:37 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-17 16:46:46 | INFO     | journal              | register_event  | Nuevo journal creado para sesión: default_session
2026-02-17 16:46:46 | INFO     | journal              | register_event  | [default_session] campaign_start: Aventura iniciada: El Canto del Cristal Muerto
2026-02-17 17:00:02 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-17 17:03:47 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-17 17:05:00 | INFO     | journal              | register_event  | Nuevo journal creado para sesión: default_session
2026-02-17 17:05:00 | INFO     | journal              | register_event  | [default_session] campaign_start: Aventura iniciada: El Canto de los Cristales Rotos
2026-02-17 17:21:48 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-17 17:22:56 | INFO     | journal              | register_event  | Nuevo journal creado para sesión: default_session
2026-02-17 17:22:56 | INFO     | journal              | register_event  | [default_session] campaign_start: Aventura iniciada: La ciudad titán
2026-02-17 17:24:33 | INFO     | journal              | register_event  | [default_session] combat_start: Combate iniciado
2026-02-17 17:25:12 | INFO     | journal              | register_event  | [default_session] combat_start: Combate iniciado
2026-02-17 17:25:28 | INFO     | journal              | register_event  | [default_session] combat_end: Combate finalizado
2026-02-17 17:30:07 | INFO     | journal              | register_event  | [default_session] campaign_start: Aventura iniciada: El Abismo del Corazón Negro
2026-02-17 17:45:48 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-17 17:46:54 | INFO     | journal              | register_event  | Nuevo journal creado para sesión: default_session
2026-02-17 17:46:54 | INFO     | journal              | register_event  | [default_session] campaign_start: Aventura iniciada: La Ciudad del Cráneo Muerto
2026-02-18 19:31:11 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-18 19:31:57 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-18 19:34:33 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-18 19:35:53 | INFO     | journal              | register_event  | Nuevo journal creado para sesión: default_session
2026-02-18 19:35:53 | INFO     | journal              | register_event  | [default_session] campaign_start: Aventura iniciada: Islas del Abismo: El Sol de la Venganza
2026-02-18 19:37:26 | INFO     | journal              | register_event  | [default_session] campaign_start: Aventura iniciada: El Susurro de las Profundidades
2026-02-18 19:47:17 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-18 19:51:18 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-18 19:53:17 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-18 19:54:33 | INFO     | journal              | register_event  | Nuevo journal creado para sesión: default_session
2026-02-18 19:54:33 | INFO     | journal              | register_event  | [default_session] campaign_start: Aventura iniciada: El Laberinto de Cadenas
2026-02-18 20:10:56 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-18 20:12:02 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-18 20:13:21 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-18 20:14:45 | INFO     | journal              | register_event  | Nuevo journal creado para sesión: default_session
2026-02-18 20:14:45 | INFO     | journal              | register_event  | [default_session] campaign_start: Aventura iniciada: El Resplandor de los Hongos
2026-02-18 20:19:30 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-18 20:21:48 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-18 20:22:43 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-18 20:24:15 | INFO     | journal              | register_event  | Nuevo journal creado para sesión: default_session
2026-02-18 20:24:15 | INFO     | journal              | register_event  | [default_session] campaign_start: Aventura iniciada: Las Islas Flotantes de Dragoneblight
2026-02-18 20:27:21 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-18 20:30:37 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-18 20:32:21 | INFO     | journal              | register_event  | Nuevo journal creado para sesión: default_session
2026-02-18 20:32:21 | INFO     | journal              | register_event  | [default_session] campaign_start: Aventura iniciada: El Cráneo del Titán
2026-02-18 20:46:09 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-18 20:47:40 | INFO     | journal              | register_event  | Nuevo journal creado para sesión: default_session
2026-02-18 20:47:40 | INFO     | journal              | register_event  | [default_session] campaign_start: Aventura iniciada: Las Islas Flotantes: La Lanza de los Chamanes
2026-02-18 20:48:41 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-18 20:51:48 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-18 20:53:21 | INFO     | journal              | register_event  | Nuevo journal creado para sesión: default_session
2026-02-18 20:53:21 | INFO     | journal              | register_event  | [default_session] campaign_start: Aventura iniciada: El Bosque de Cristales Cantores
2026-02-18 20:56:47 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-18 20:58:07 | INFO     | journal              | register_event  | Nuevo journal creado para sesión: default_session
2026-02-18 20:58:07 | INFO     | journal              | register_event  | [default_session] campaign_start: Aventura iniciada: La Ciud... del Cráneo
2026-02-19 16:23:22 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-19 16:25:09 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-19 16:26:35 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-19 16:28:58 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-19 16:30:06 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-19 16:31:12 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-19 16:33:51 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-19 16:36:35 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-19 16:38:12 | INFO     | journal              | register_event  | Nuevo journal creado para sesión: default_session
2026-02-19 16:38:12 | INFO     | journal              | register_event  | [default_session] campaign_start: Aventura iniciada: Luz en la Oscuridad
2026-02-19 16:46:45 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-19 16:49:32 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-19 16:50:12 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-19 16:51:03 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-19 16:52:50 | INFO     | journal              | register_event  | Nuevo journal creado para sesión: default_session
2026-02-19 16:52:50 | INFO     | journal              | register_event  | [default_session] campaign_start: Aventura iniciada: La Niebla de Sangre
2026-02-19 16:54:13 | INFO     | journal              | register_event  | [default_session] campaign_start: Aventura iniciada: El laberinto de la neblina sangrienta
2026-02-19 16:54:42 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-19 16:55:10 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-19 16:55:36 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-19 16:55:44 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-19 16:56:56 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-19 16:57:19 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-19 16:57:40 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-19 16:58:59 | INFO     | journal              | register_event  | Nuevo journal creado para sesión: default_session
2026-02-19 16:58:59 | INFO     | journal              | register_event  | [default_session] campaign_start: Aventura iniciada: La sombra del dragón
2026-02-19 17:08:36 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-19 17:10:08 | INFO     | journal              | register_event  | Nuevo journal creado para sesión: default_session
2026-02-19 17:10:08 | INFO     | journal              | register_event  | [default_session] campaign_start: Aventura iniciada: Las sombras del antiguo mundo
2026-02-19 17:16:11 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-19 17:17:36 | INFO     | journal              | register_event  | Nuevo journal creado para sesión: default_session
2026-02-19 17:17:36 | INFO     | journal              | register_event  | [default_session] campaign_start: Aventura iniciada: La Rebelión de la Luna
2026-02-19 17:35:45 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-19 17:37:27 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-19 17:38:57 | INFO     | journal              | register_event  | Nuevo journal creado para sesión: default_session
2026-02-19 17:38:57 | INFO     | journal              | register_event  | [default_session] campaign_start: Aventura iniciada: La Rebelión del Dragón Negro
2026-02-19 17:42:54 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-19 17:44:22 | INFO     | journal              | register_event  | Nuevo journal creado para sesión: default_session
2026-02-19 17:44:22 | INFO     | journal              | register_event  | [default_session] campaign_start: Aventura iniciada: La Profecía del Dragón Negro
2026-02-19 18:01:01 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-19 18:02:33 | INFO     | journal              | register_event  | Nuevo journal creado para sesión: default_session
2026-02-19 18:02:33 | INFO     | journal              | register_event  | [default_session] campaign_start: Aventura iniciada: El Ocaso del Dominio de las Sombras
2026-02-19 18:11:11 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-19 18:12:34 | INFO     | journal              | register_event  | Nuevo journal creado para sesión: default_session
2026-02-19 18:12:34 | INFO     | journal              | register_event  | [default_session] campaign_start: Aventura iniciada: La rebelión contra las sombras
2026-02-21 22:12:18 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-21 22:13:42 | INFO     | journal              | register_event  | Nuevo journal creado para sesión: default_session
2026-02-21 22:13:42 | INFO     | journal              | register_event  | [default_session] campaign_start: Aventura iniciada: El Legado de los Dragones
2026-02-21 22:18:24 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-21 22:19:42 | INFO     | journal              | register_event  | Nuevo journal creado para sesión: default_session
2026-02-21 22:19:42 | INFO     | journal              | register_event  | [default_session] campaign_start: Aventura iniciada: Los Guardianes del Canto Prohibido
2026-02-21 22:27:40 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-21 22:28:55 | INFO     | journal              | register_event  | Nuevo journal creado para sesión: default_session
