2026-02-17 16:46:46 | INFO     | websocket            | connect         | ✓ Cliente conectado - Sesión: default_session (dm) — Total: 1
2026-02-17 16:48:32 | INFO     | websocket            | disconnect      | ✗ Cliente desconectado - Sesión: default_session
2026-02-17 17:00:02 | INFO     | websocket            | __init__        | ConnectionManager multi-cliente inicializado
2026-02-17 17:03:47 | INFO     | websocket            | __init__        | ConnectionManager multi-cliente inicializado
2026-02-17 17:05:00 | INFO     | websocket            | connect         | ✓ Cliente conectado - Sesión: default_session (dm) — Total: 1
2026-02-17 17:06:22 | INFO     | websocket            | connect         | ✓ Cliente conectado - Sesión: default_session (player) — Total: 2
2026-02-17 17:06:28 | INFO     | websocket            | disconnect      | ✗ Cliente desconectado - Sesión: default_session
2026-02-17 17:06:28 | INFO     | websocket            | connect         | ✓ Cliente conectado - Sesión: default_session (player) — Total: 2
2026-02-17 17:06:36 | INFO     | websocket            | disconnect      | ✗ Cliente desconectado - Sesión: default_session
2026-02-17 17:06:37 | INFO     | websocket            | connect         | ✓ Cliente conectado - Sesión: default_session (player) — Total: 2
2026-02-17 17:07:36 | INFO     | websocket            | disconnect      | ✗ Cliente desconectado - Sesión: default_session
2026-02-17 17:08:13 | INFO     | websocket            | connect         | ✓ Cliente conectado - Sesión: default_session (player) — Total: 2
2026-02-17 17:08:36 | INFO     | websocket            | disconnect      | ✗ Cliente desconectado - Sesión: default_session
2026-02-17 17:08:46 | INFO     | websocket            | connect         | ✓ Cliente conectado - Sesión: default_session (player) — Total: 2
2026-02-17 17:09:19 | INFO     | websocket            | disconnect      | ✗ Cliente desconectado - Sesión: default_session
2026-02-17 17:21:44 | INFO     | websocket            | disconnect      | ✗ Cliente desconectado - Sesión: default_session
2026-02-17 17:21:48 | INFO     | websocket            | __init__        | ConnectionManager multi-cliente inicializado
2026-02-17 17:22:56 | INFO     | websocket            | connect         | ✓ Cliente conectado - Sesión: default_session (dm) — Total: 1
2026-02-17 17:23:09 | INFO     | websocket            | connect         | ✓ Cliente conectado - Sesión: default_session (player) — Total: 2
2026-02-17 17:24:20 | INFO     | websocket            | disconnect      | ✗ Cliente desconectado - Sesión: default_session
2026-02-17 17:28:37 | INFO     | websocket            | disconnect      | ✗ Cliente desconectado - Sesión: default_session
2026-02-17 17:28:37 | INFO     | websocket            | connect         | ✓ Cliente conectado - Sesión: default_session (dm) — Total: 1
2026-02-17 17:29:11 | INFO     | websocket            | disconnect      | ✗ Cliente desconectado - Sesión: default_session
2026-02-17 17:30:07 | INFO     | websocket            | connect         | ✓ Cliente conectado - Sesión: default_session (dm) — Total: 1
2026-02-17 17:30:44 | INFO     | websocket            | connect         | ✓ Cliente conectado - Sesión: default_session (player) — Total: 2
2026-02-17 17:31:19 | INFO     | websocket            | disconnect      | ✗ Cliente desconectado - Sesión: default_session
2026-02-17 17:31:29 | INFO     | websocket            | disconnect      | ✗ Cliente desconectado - Sesión: default_session
2026-02-17 17:45:48 | INFO     | websocket            | __init__        | ConnectionManager multi-cliente inicializado
2026-02-17 17:46:54 | INFO     | websocket            | connect         | ✓ Cliente conectado - Sesión: default_session (dm) — Total: 1
2026-02-17 17:47:17 | INFO     | websocket            | connect         | ✓ Cliente conectado - Sesión: default_session (player) — Total: 2
2026-02-17 17:47:18 | INFO     | websocket            | disconnect      | ✗ Cliente desconectado - Sesión: default_session
2026-02-17 17:47:18 | INFO     | websocket            | connect         | ✓ Cliente conectado - Sesión: default_session (player) — Total: 2
2026-02-17 17:47:37 | INFO     | websocket            | disconnect      | ✗ Cliente desconectado - Sesión: default_session
2026-02-17 17:47:37 | INFO     | websocket            | connect         | ✓ Cliente conectado - Sesión: default_session (player) — Total: 2
2026-02-17 17:48:31 | INFO     | websocket            | disconnect      | ✗ Cliente desconectado - Sesión: default_session
2026-02-17 17:49:05 | INFO     | websocket            | connect         | ✓ Cliente conectado - Sesión: default_session (player) — Total: 2
2026-02-17 17:49:45 | INFO     | websocket            | disconnect      | ✗ Cliente desconectado - Sesión: default_session
2026-02-17 17:55:53 | INFO     | websocket            | disconnect      | ✗ Cliente desconectado - Sesión: default_session
2026-02-18 19:31:11 | INFO     | websocket            | __init__        | ConnectionManager multi-cliente inicializado
2026-02-18 19:31:57 | INFO     | websocket            | __init__        | ConnectionManager multi-cliente inicializado
2026-02-18 19:34:33 | INFO     | websocket            | __init__        | ConnectionManager multi-cliente inicializado
