2026-02-19 16:54:13 | ERROR    | comfy_client         | queue_prompt    | Error enviando prompt a ComfyUI: <urlopen error [Errno 111] Connection refused>
2026-02-19 16:54:13 | ERROR    | comfy_client         | queue_prompt    | Error enviando prompt a ComfyUI: <urlopen error [Errno 111] Connection refused>
2026-02-19 16:54:13 | ERROR    | comfy_client         | queue_prompt    | Error enviando prompt a ComfyUI: <urlopen error [Errno 111] Connection refused>
2026-02-19 16:54:13 | ERROR    | comfy_client         | queue_prompt    | Error enviando prompt a ComfyUI: <urlopen error [Errno 111] Connection refused>
2026-02-19 16:54:13 | ERROR    | comfy_client         | queue_prompt    | Error enviando prompt a ComfyUI: <urlopen error [Errno 111] Connection refused>
2026-02-19 16:54:42 | INFO     | comfy_client         | _load_workflows | Workflows cargados: ['map_v1.json', 'map', 'portrait', 'default']
2026-02-19 16:55:10 | INFO     | comfy_client         | _load_workflows | Workflows cargados: ['map_v1.json', 'map', 'portrait', 'default']
2026-02-19 16:55:36 | INFO     | comfy_client         | _load_workflows | Workflows cargados: ['map_v1.json', 'map', 'portrait', 'default']
2026-02-19 16:55:44 | INFO     | comfy_client         | _load_workflows | Workflows cargados: ['map_v1.json', 'map', 'portrait', 'default']
2026-02-19 16:56:56 | INFO     | comfy_client         | _load_workflows | Workflows cargados: ['map_v1.json', 'map', 'portrait', 'default']
2026-02-19 16:57:19 | INFO     | comfy_client         | _load_workflows | Workflows cargados: ['map_v1.json', 'map', 'portrait', 'default']
2026-02-19 16:57:40 | INFO     | comfy_client         | _load_workflows | Workflows cargados: ['map_v1.json', 'map', 'portrait', 'default']
2026-02-19 17:08:36 | INFO     | comfy_client         | _load_workflows | Workflows cargados: ['map_v1.json', 'map', 'portrait', 'default']
2026-02-19 17:16:11 | INFO     | comfy_client         | _load_workflows | Workflows cargados: ['map_v1.json', 'map', 'portrait', 'default']
2026-02-19 17:37:27 | INFO     | comfy_client         | _load_workflows | Workflows cargados: ['map_v1.json', 'map', 'portrait', 'default']
2026-02-19 17:42:54 | INFO     | comfy_client         | _load_workflows | Workflows cargados: ['map_v1.json', 'map', 'portrait', 'default']
2026-02-19 18:01:01 | INFO     | comfy_client         | _load_workflows | Workflows cargados: ['map_v1.json', 'map', 'portrait', 'default']
2026-02-19 18:11:11 | INFO     | comfy_client         | _load_workflows | Workflows cargados: ['map_v1.json', 'map', 'portrait', 'default']
2026-02-21 22:12:18 | INFO     | comfy_client         | _load_workflows | Workflows cargados: ['map_v1.json', 'map', 'portrait', 'default']
2026-02-21 22:18:24 | INFO     | comfy_client         | _load_workflows | Workflows cargados: ['map_v1.json', 'map', 'portrait', 'default']
2026-02-21 22:27:40 | INFO     | comfy_client         | _load_workflows | Workflows cargados: ['map_v1.json', 'map', 'portrait', 'default']
2026-02-21 22:37:30 | INFO     | comfy_client         | _load_workflows | Workflows cargados: ['map_v1.json', 'map', 'portrait', 'default']
2026-02-21 22:43:42 | INFO     | comfy_client         | _load_workflows | Workflows cargados: ['map_v1.json', 'map', 'portrait', 'default']
2026-02-21 22:51:59 | INFO     | comfy_client         | _load_workflows | Workflows cargados: ['map_v1.json', 'map', 'portrait', 'default']
2026-02-21 23:08:53 | INFO     | comfy_client         | _load_workflows | Workflows cargados: ['map_v1.json', 'map', 'portrait', 'default']
